fish_number,obstacle_number,treatment,BL,curvature,wavespeed,wavelength,TBF,headAmp,tailAmp,U,Re,St
1,0,intact,3,9.94407961969799,4.7475,0.6693975,7.09219858156028,0.189434,0.285876,0.125077574514997,3752.32723544992,0.486295653612716
2,0,intact,3.4,10.5780837395293,11.564,2.093084,5.52486187845304,0.1432172,0.27029,0.113547628639398,3860.61937373954,0.447148987528072
3,0,intact,3.8,5.43866829380065,2.96025,0.7163805,4.13223140495868,0.2013676,0.34832,0.0920953556260353,3499.62351378934,0.593893966327175
4,0,intact,3.3,15.21414758348,5.29107142857142,0.915355357142856,5.78034682080925,0.1599394,0.3171388,0.0988636498997583,3262.50044669203,0.611900172150244
5,0,intact,3.4,23.8604990358803,8.34117647058823,1.68491764705882,4.95049504950495,0.1366688,0.4208498,0.119835787449884,4074.41677329604,0.591109771612418
6,0,intact,4,7.49677353845397,2.4178947368421,0.56336947368421,4.29184549356223,0.155884,0.27354068,0.0791707517855905,3166.83007142362,0.593145477735692
7,0,intact,3.5,9.7529816009492,4.13607142857143,0.690723928571428,5.98802395209581,0.1307764,0.29148,0.123780372141228,4332.31302494299,0.493524310015738
1,2,intact,3.3,9.85300144067101,9.32166666666667,0.652516666666667,14.2857142857143,0.1620002,0.2683728,0.189386291276463,6249.74761212328,0.668045215213576
2,2,intact,3.5,8.34807062459014,10.3583333333333,0.714724999999999,14.4927536231884,0.0792444,0.253976,0.0724582948761576,2536.04032066552,1.77796629105459
3,2,intact,3.6,13.7041138465817,12.38625,1.1147625,11.1111111111111,0.1252116,0.2601968,0.0995874119489058,3585.14683016061,1.04509915423245
4,2,intact,3.9,18.0927572632125,8.6255,1.0781875,8,0.2553054,0.2357256,0.0894478362858155,3488.46561514681,0.822226565268665
5,2,intact,3.9,9.01780504374115,9.241875,0.841010625,10.989010989011,0.077957282,0.337168,0.121252153334461,4728.83398004398,1.19173612554312
7,2,intact,3.5,10.6378110446794,7.1875,0.6540625,10.989010989011,0.06302956,0.287956,0.0931107223731182,3258.87528305914,1.18946889111756
1,3,intact,4,9.24190726673452,7.39423076923077,1.16828846153846,6.32911392405063,0.1510904,0.2653018,0.0669334090223463,2677.33636089385,1.00346020977064
3,3,intact,3.2,8.37746306884983,15.9457142857143,1.35538571428571,11.7647058823529,0.2210968,0.218907,0.141021621938317,4512.69190202616,0.584392988295585
4,3,intact,3.2,10.0837784535789,10.07,0.71497,14.0845070422535,0.1491316,0.260768,0.128267406208534,4104.55699867308,0.916282966270821
5,3,intact,3.1,11.4841182588039,7.10071428571429,0.610661428571429,11.6279069767442,0.187411889,0.288322,0.134341347506102,4164.58177268917,0.773626476026625
6,3,intact,4.1,11.7056010711174,7.772,0.901552,8.62068965517241,0.18191,0.24590808,0.09458913992535,3878.15473693935,0.918877018705803
7,3,intact,3.5,8.55635389500808,6.37777777777778,0.669666666666667,9.52380952380952,0.06901,0.2179856,0.0615050556475849,2152.67694766547,1.18139664945608
1,4,intact,3.4,8.95076216753506,2.10875,0.21298375,9.9009900990099,0.119422,0.23529978,0.103746320120043,3527.37488408146,0.763495291582784
2,4,intact,3.3,21.8000160876463,9.81375,0.97156125,10.1010101010101,0.319716,0.2089884,0.0889465392104182,2935.2357939438,0.783198543961342
3,4,intact,3.5,8.28790525725142,11.8033333333333,0.81443,14.4927536231884,0.1023708,0.253658,0.122113022552044,4273.95578932153,1.05367223544433
4,4,intact,4,12.9339862001237,3.791875,0.3488525,10.8695652173913,0.0468872,0.2619708,0.16438440959359,6575.37638374358,0.692890208430865
